query,result,role,label
"SELECT customer_id, name FROM Customers;","182 rows returned; columns: rating, review_id, status, hair.",HR Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 154 rows with columns: event_name, event_id, order_id, customer_id, employee_id","Programmer, multimedia",1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 410 rows with columns: price, employee_id, review_id",CTO,0
"SELECT employee_id, first_name, last_name FROM Employees;","890 rows found, including columns: first_name, comment, review_id, order_id",CFO,1
SELECT * FROM Inventory;,"Retrieved 817 rows with columns: customer_id, status, product_name",Product Manager,1
TABLE VALUES ON;,"Retrieved 232 rows with columns: last_name, comment, event_name, price, event_id",Product Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","231 rows returned; columns: employee_id, product_name, status, comment.",CTO,1
SELECT * FROM User_Activity;,"579 rows found, including columns: order_id, amount, payment_id, order_date, status",Supervisor,1
SELECT * FROM User_Activity;,"475 rows found, including columns: race, customer_id, amount, status",Supervisor,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 934 rows with columns: employee_id, review_id, order_id, product_id, rating",Accountant,1
JOIN environmental environmental TABLE (;,"Retrieved 70 rows with columns: order_date, first_name, status",Security Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","84 rows found, including columns: last_name, order_date, employee_id",Marketing Specialist,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Manager';","144 rows returned; columns: timestamp, employee_id, address.",Intern,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","301 rows returned; columns: rating, price, last_name, order_date.",CFO,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","581 rows found, including columns: last_name, event_name, rating, event_id, order_id",Software Engineer,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","940 rows returned; columns: product_id, email, employee_id.",Sales Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","774 rows returned; columns: last_name, order_id, customer_id, product_name.",Medical illustrator,1
choice FROM > ON;,"Retrieved 312 rows with columns: employee_id, review_id, product_name, order_date, customer_id",COO,1
"SELECT customer_id, name FROM Customers;","455 rows found, including columns: event_id, price, review_id, rating, status",Accountant,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","329 rows found, including columns: rating, event_name, employee_id",Legal Counsel,1
"SELECT customer_id, name FROM Customers;","347 rows returned; columns: customer_id, product_id, email, first_name.",Finance Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","892 rows found, including columns: product_id, event_name, event_id, review_id",Software Engineer,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","668 rows returned; columns: review_id, employee_id, email, product_name.",Data Scientist,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 581 rows with columns: status, first_name, email, event_id",Marketing Specialist,1
SELECT * FROM Credit_Card_Info;,"313 rows returned; columns: address, name, phone.",Data Entry Clerk,0
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Manager';","Retrieved 354 rows with columns: customer_id, timestamp, user_id, social_security_number, salary",HR Intern,0
"SELECT customer_id, name FROM Customers;","Retrieved 114 rows with columns: product_name, event_name, email, review_id, order_date, history",Finance Analyst,1
SELECT * FROM User_Activity;,"Retrieved 105 rows with columns: user_id, amount, timestamp, activity",Order Processor,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Supervisor';","Retrieved 448 rows with columns: bonus, department, employee_id, social_security_number",Junior Analyst,0
"SELECT product_id, product_name, price FROM Products;","932 rows returned; columns: day, rating, product_name, first_name.",Legal Counsel,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","438 rows found, including columns: review_id, last_name, price, win",Product Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 140 rows with columns: customer_id, comment, rating, order_id",Customer Support Representative,1
"SELECT product_id, product_name, price FROM Products;","458 rows found, including columns: event_id, product_id, email",CMO,1
"SELECT customer_id, name FROM Customers;","Retrieved 957 rows with columns: email, event_name, last_name, event_id, only",Procurement Manager,1
"SELECT product_id, product_name, price FROM Products;","404 rows found, including columns: rating, email, status, customer_id",Auditor,0
SELECT * FROM User_Login_History WHERE success=0;,"Retrieved 167 rows with columns: cvv, ip_address, department",Junior Analyst,0
"SELECT employee_id, first_name, last_name FROM Employees;","188 rows found, including columns: status, rating, review_id, last_name, first_name",Systems Administrator,1
"SELECT customer_id, name FROM Customers;","Retrieved 984 rows with columns: order_id, price, event_id, product_id",HR Manager,1
"SELECT customer_id, name FROM Customers;","1000 rows returned; columns: last_name, product_name, review_id, order_date.",Customer Support Representative,1
SELECT * FROM Inventory;,"428 rows found, including columns: order_id, event_name, first_name, help",Rural practice surveyor,1
SELECT * FROM User_Activity;,"342 rows returned; columns: activity, customer_id, user_id.",IT Analyst,0
* SELECT < 'X';,"Retrieved 682 rows with columns: first_name, email, product_name",IT Specialist,1
SELECT * FROM Inventory;,"Retrieved 375 rows with columns: event_name, employee_id, rating, customer_id",Auditor,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 203 rows with columns: customer_id, order_id, price, last_name, product_id",COO,1
"SELECT customer_id, name FROM Customers;","301 rows found, including columns: order_id, order_date, comment, customer_id, email",CTO,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 829 rows with columns: order_id, comment, last_name, rating",CFO,1
SELECT * FROM Inventory;,"894 rows found, including columns: employee_id, price, rating",Auditor,1
"SELECT employee_id, first_name, last_name FROM Employees;","962 rows found, including columns: event_id, order_id, comment, event_name",Software Engineer,1
"SELECT customer_id, name FROM Customers;","303 rows returned; columns: order_id, order_date, product_name.",HR Manager,1
"SELECT product_id, product_name, price FROM Products;","463 rows returned; columns: event_id, rating, customer_id.",Customer Support Representative,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 977 rows with columns: review_id, order_date, over, employee_id, order_id",Sales Manager,1
SELECT * FROM Inventory;,"345 rows found, including columns: first_name, per, event_id, product_name",Customer Support Representative,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 940 rows with columns: event_name, order_id, first_name",CFO,1
SELECT * FROM Inventory;,"Retrieved 476 rows with columns: product_id, season, event_id, status",Software Engineer,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","335 rows returned; columns: order_id, recognize, event_name, employee_id.",Regulatory affairs officer,1
"SELECT customer_id, name FROM Customers;","356 rows found, including columns: comment, order_id, product_name, first_name, review_id",Product Manager,1
SELECT * FROM User_Activity;,"543 rows returned; columns: status, payment_id, user_id.",Regional Manager,1
"SELECT customer_id, name FROM Customers;","Retrieved 480 rows with columns: email, employee_id, last_name, product_id, first_name",Product Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","537 rows returned; columns: review_id, employee_id, customer_id.",HR Manager,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Manager';","Retrieved 175 rows with columns: salary, card_number, user_id, outside, bonus",Intern,0
SELECT * FROM Orders WHERE status='Pending';,"Retrieved 438 rows with columns: activity, payment_id, status, amount",Team Lead,0
"SELECT customer_id, name FROM Customers;","906 rows found, including columns: product_id, status, event_id",Consulting civil engineer,1
SELECT ( technology ; * ON 'X';,"275 rows returned; columns: order_id, event_name, email, order_date, product_name.",Procurement Manager,1
SELECT * FROM Employee_Personal_Info;,"Retrieved 314 rows with columns: social_security_number, customer_id, salary, employee_id, ip_address",Intern,0
; WHERE TABLE shoulder ( JOIN;,"533 rows found, including columns: activity, order_date, payment_id, amount",Order Processor,1
SELECT * FROM Sensitive_Logs;,"405 rows returned; columns: social_security_number, ip_address, phone, cvv, name.",Intern,0
"SELECT product_id, product_name, price FROM Products;","507 rows returned; columns: last_name, event_id, review_id.","Engineer, maintenance",1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 489 rows with columns: order_id, status, event_id",Data Scientist,1
SELECT JOIN film DROP;,"29 rows returned; columns: employee_id, expiry, bonus.",HR Intern,0
"SELECT customer_id, name FROM Customers;","645 rows found, including columns: last_name, comment, term, status, price",Auditor,1
"SELECT product_id, product_name, price FROM Products;","490 rows returned; columns: rating, first_name, review_id.",Chartered accountant,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 418 rows with columns: status, product_name, product_id, employee_id",Customer Support Representative,1
SELECT * FROM Inventory;,"Retrieved 278 rows with columns: last_name, order_date, employee_id, status",HR Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","57 rows returned; columns: product_id, order_date, last_name.",Procurement Manager,1
SELECT * FROM Inventory;,"610 rows returned; columns: event_name, rating, comment, product_id.",Sales Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","532 rows returned; columns: first_name, product_name, rating, work, event_id.",CFO,1
FROM ( loss loss JOIN VALUES SELECT ;;,"Retrieved 370 rows with columns: product_name, order_id, comment, event_id",Orthoptist,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","147 rows returned; columns: product_id, order_date, product_name, event_id, employee_id.",Operations Manager,1
SELECT * FROM Orders WHERE status='Pending';,"98 rows found, including columns: timestamp, payment_id, status",Regional Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","786 rows returned; columns: customer_id, rating, first_name, event_name, price.",Procurement Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 336 rows with columns: event_name, first_name, event_id",Pharmacologist,1
SELECT * FROM User_Login_History WHERE success=0;,"284 rows found, including columns: cvv, card_number, name",Intern,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","170 rows found, including columns: comment, employee_id, event_name",IT Specialist,1
SELECT * FROM Employee_Personal_Info;,"261 rows found, including columns: card_number, ip_address, department, bonus, name",Junior Analyst,0
SELECT * FROM Employee_Personal_Info;,"Retrieved 474 rows with columns: department, card_number, employee_id",Intern,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","73 rows found, including columns: nor, product_name, employee_id, review_id, event_name",Software Engineer,1
SELECT * FROM User_Activity;,"472 rows returned; columns: order_id, activity, customer_id.",Supervisor,1
theory ) WHERE SELECT * TABLE SELECT TABLE;,"435 rows returned; columns: event_name, product_name, review_id.",Operations Manager,1
"SELECT employee_id, first_name, last_name FROM Employees;","256 rows returned; columns: event_id, first_name, status.",HR Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","321 rows found, including columns: impact, order_id, event_id, first_name",Stage manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 789 rows with columns: customer_id, product_name, product_id, price",Legal Counsel,1
SELECT * FROM User_Login_History WHERE success=0;,"455 rows returned; columns: address, social_security_number, customer_id, employee_id.",HR Intern,0
"SELECT customer_id, name FROM Customers;","106 rows returned; columns: review_id, order_id, status, product_name, event_id.",Finance Analyst,1
SELECT * FROM Inventory;,"282 rows returned; columns: employee_id, order_id, price.",Customer Support Representative,1
SELECT * FROM Sensitive_Logs;,"206 rows returned; columns: ip_address, user_id, customer_id, social_security_number, salary.","Scientist, research (maths)",0
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 110 rows with columns: rating, event_name, review_id",Marketing Specialist,1
) JOIN > WHERE WHERE VALUES;,"152 rows returned; columns: customer_id, price, product_id, employee_id.",Accountant,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 836 rows with columns: product_id, order_date, comment, first_name, price","Research officer, trade union",0
SELECT * FROM User_Login_History WHERE success=0;,"181 rows returned; columns: employee_id, card_number, user_id, timestamp.",Trainee,0
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 323 rows with columns: order_id, review_id, last_name, myself, event_name, event_id",Accountant,1
"SELECT customer_id, name FROM Customers;","Retrieved 920 rows with columns: first_name, event_name, email, employee_id",Data Scientist,1
"SELECT customer_id, name FROM Customers;","Retrieved 454 rows with columns: first_name, rating, last_name",Quantity surveyor,1
SELECT * FROM Inventory;,"Retrieved 662 rows with columns: product_name, employee_id, comment",Finance Analyst,1
"SELECT product_id, product_name, price FROM Products;","807 rows returned; columns: order_date, product_name, event_id, product_id.",Accountant,1
"SELECT customer_id, name FROM Customers;","Retrieved 544 rows with columns: order_id, rating, customer_id",Procurement Manager,1
SELECT * FROM Employee_Personal_Info;,"56 rows returned; columns: expiry, card_number, address, social_security_number, phone.",Junior Analyst,0
"SELECT product_id, product_name, price FROM Products;","103 rows returned; columns: price, order_id, event_name, customer_id.",Business Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","547 rows returned; columns: last_name, event_name, event_id.",Legal Counsel,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","790 rows returned; columns: email, event_id, last_name, event_name, product_name.",Legal Counsel,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 870 rows with columns: price, event_name, status",Finance Analyst,1
SELECT * FROM Customer_Payments WHERE amount > 2097;,"Retrieved 76 rows with columns: order_date, payment_id, activity, after",Order Processor,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","406 rows found, including columns: attention, rating, last_name, comment",IT Specialist,1
* all SELECT * key;,"812 rows returned; columns: price, review_id, rating, order_id.",Product Manager,1
"SELECT product_id, product_name, price FROM Products;","939 rows returned; columns: rating, product_id, event_name.",Procurement Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","Retrieved 955 rows with columns: employee_id, status, order_id",Marketing Specialist,1
"SELECT employee_id, first_name, last_name FROM Employees;","555 rows returned; columns: product_id, price, event_name, last_name, order_date.",COO,1
customer INSERT ; INSERT * TABLE;,"300 rows found, including columns: product_id, rating, event_name",Software Engineer,1
"SELECT customer_id, name FROM Customers;","206 rows returned; columns: price, order_date, product_id, rating, event_name.",CMO,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 280 rows with columns: order_id, rating, last_name",CEO,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","411 rows returned; columns: comment, last_name, product_id, customer_id.",Procurement Manager,1
SELECT * FROM Customer_Payments WHERE amount > 9551;,"Retrieved 337 rows with columns: social_security_number, department, cvv",Clinical molecular geneticist,0
"SELECT product_id, product_name, price FROM Products;","Retrieved 256 rows with columns: order_date, status, comment",Retail buyer,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","122 rows found, including columns: first_name, last_name, price, event_id",CTO,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 716 rows with columns: product_name, status, email",Accountant,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","198 rows returned; columns: last_name, event_id, order_date.",Procurement Manager,1
SELECT * FROM Orders WHERE status='Pending';,"301 rows found, including columns: timestamp, payment_id, user_id, order_date",Supervisor,1
"SELECT employee_id, first_name, last_name FROM Employees;","277 rows found, including columns: rating, email, last_name",CFO,1
> DROP TABLE UPDATE;,"586 rows returned; columns: customer_id, payment_id, amount, activity.",Regional Manager,1
"SELECT product_id, product_name, price FROM Products;","295 rows returned; columns: last_name, status, rating, comment, employee_id.",Security Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","472 rows returned; columns: customer_id, price, review_id, amount, event_id.",Business Analyst,1
"SELECT customer_id, name FROM Customers;","Retrieved 426 rows with columns: product_id, status, review_id, email",Auditor,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 584 rows with columns: customer_id, first_name, status",Software Engineer,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 727 rows with columns: employee_id, suddenly, order_date, first_name, product_id",Legal Counsel,1
SELECT * FROM Customer_Payments WHERE amount > 2101;,"174 rows returned; columns: activity, customer_id, timestamp, order_date.",Regional Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","97 rows found, including columns: order_date, event_name, email",Product Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","820 rows found, including columns: employee_id, event_id, review_id, status",Procurement Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","813 rows found, including columns: product_name, product_id, order_id, customer_id",Procurement Manager,0
"SELECT customer_id, name FROM Customers;","578 rows returned; columns: product_id, status, first_name.",Systems Administrator,1
SELECT * FROM Sensitive_Logs;,"268 rows returned; columns: customer_id, user_id, card_number, timestamp, expiry.",Data Entry Clerk,1
"SELECT employee_id, first_name, last_name FROM Employees;","761 rows returned; columns: email, event_name, price, process.",Auditor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","844 rows found, including columns: event_name, rating, customer_id",COO,1
"SELECT product_id, product_name, price FROM Products;","391 rows returned; columns: first_name, email, status, review_id, order_id.",Business Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","130 rows returned; columns: email, employee_id, rating.",Sales Manager,1
UPDATE = < JOIN >;,"Retrieved 895 rows with columns: last_name, customer_id, product_name",Project Manager,1
SELECT * FROM Customer_Payments WHERE amount > 7220;,"Retrieved 29 rows with columns: bonus, address, social_security_number, ip_address, phone",Data Entry Clerk,0
"SELECT customer_id, name FROM Customers;","163 rows found, including columns: status, order_date, customer_id",Systems Administrator,1
SELECT * FROM Orders WHERE status='Pending';,"Retrieved 531 rows with columns: status, activity, amount, timestamp, order_id",Regional Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","70 rows returned; columns: product_id, event_id, product_name.",Mudlogger,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","932 rows returned; columns: status, event_name, order_date, term, first_name.",Sales Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","567 rows found, including columns: first_name, status, order_id, event_name",CMO,0
"SELECT customer_id, name FROM Customers;","Retrieved 721 rows with columns: review_id, first_name, product_id, product_name",IT Specialist,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","919 rows found, including columns: email, first_name, review_id",Operations Manager,1
SELECT * FROM Credit_Card_Info;,"21 rows returned; columns: expiry, user_id, cvv, timestamp, department.",Trainee,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","929 rows returned; columns: email, event_name, status, employee_id, rating.",Project Manager,1
"SELECT customer_id, name FROM Customers;","Retrieved 160 rows with columns: customer_id, event_name, status, employee_id, order_date",Seismic interpreter,1
UPDATE WHERE = SELECT FROM seat 'X';,"997 rows returned; columns: first_name, employee_id, product_id, price, comment.",Operations Manager,1
"SELECT customer_id, name FROM Customers;","428 rows found, including columns: product_name, order_id, last_name, email",Marketing Specialist,0
"SELECT employee_id, first_name, last_name FROM Employees;","484 rows returned; columns: rating, event_id, customer_id, last_name, status.",Sales Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","361 rows found, including columns: first_name, product_id, event_id, order_id, event_name",Accountant,1
SELECT * FROM Orders WHERE status='Pending';,"114 rows found, including columns: western, activity, order_id, customer_id, timestamp",Regional Manager,1
"SELECT customer_id, name FROM Customers;","314 rows found, including columns: last_name, first_name, product_name, product_id, price",Barrister's clerk,1
SELECT * FROM Inventory;,"437 rows returned; columns: review_id, product_name, event_name, status.",Business Analyst,1
"SELECT employee_id, first_name, last_name FROM Employees;","642 rows found, including columns: email, event_id, price, event_name, last_name",Procurement Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","699 rows returned; columns: email, product_id, last_name, order_date.",Project Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 652 rows with columns: status, first_name, order_date",COO,1
"SELECT customer_id, name FROM Customers;","576 rows returned; columns: customer_id, order_id, email, order_date, employee_id.",HR Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","353 rows found, including columns: event_id, first_name, comment, email",Geophysicist/field seismologist,1
SELECT * FROM Inventory;,"385 rows returned; columns: last_name, review_id, price.",Magazine journalist,1
"SELECT product_id, product_name, price FROM Products;","552 rows returned; columns: review_id, status, order_date.",Legal Counsel,1
SELECT * FROM Inventory;,"Retrieved 634 rows with columns: event_name, order_id, order_date, product_id, last_name",CTO,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 551 rows with columns: rating, status, customer_id",Security Analyst,1
SELECT * FROM Customer_Payments WHERE amount > 7421;,"217 rows returned; columns: address, timestamp, customer_id.",Intern,0
= SELECT INSERT;,"652 rows returned; columns: order_id, rating, order_date, email.",Project Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 706 rows with columns: event_name, product_name, employee_id, comment",Marketing Specialist,1
"SELECT employee_id, first_name, last_name FROM Employees;","954 rows found, including columns: customer_id, last_name, product_id, price",Customer Support Representative,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 97 rows with columns: price, event_name, decade, product_name",Data Scientist,1
SELECT * FROM User_Activity;,"319 rows found, including columns: status, user_id, activity, order_date, payment_id",Team Lead,0
"SELECT product_id, product_name, price FROM Products;","545 rows found, including columns: customer_id, first_name, review_id, rating",Banker,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 437 rows with columns: price, email, rating, review_id, first_name",Procurement Manager,1
SELECT * FROM Orders WHERE status='Pending';,"105 rows found, including columns: status, order_id, payment_id, order_date, customer_id",IT Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","283 rows returned; columns: employee_id, order_date, last_name.",Public librarian,1
"SELECT customer_id, name FROM Customers;","891 rows returned; columns: comment, email, customer_id, status, price.",Project Manager,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Manager';","408 rows found, including columns: card_number, department, timestamp, employee_id",Intern,0
"SELECT customer_id, name FROM Customers;","Retrieved 183 rows with columns: comment, first_name, status",Finance Analyst,1
"SELECT customer_id, name FROM Customers;","679 rows returned; columns: order_date, comment, last_name.","Engineer, civil (consulting)",1
"SELECT product_id, product_name, price FROM Products;","973 rows returned; columns: order_date, customer_id, event_id, treat, rating, employee_id.",COO,1
"SELECT customer_id, name FROM Customers;","445 rows returned; columns: order_id, first_name, product_name.",Finance Analyst,1
"SELECT product_id, product_name, price FROM Products;","485 rows returned; columns: status, order_id, employee_id, price, event_id.",Accountant,1
SELECT * FROM Orders WHERE status='Pending';,"Retrieved 438 rows with columns: payment_id, order_date, user_id",Order Processor,1
SELECT * FROM Inventory;,"Retrieved 822 rows with columns: order_date, order_id, email, comment, product_name",IT Specialist,1
SELECT * FROM Sensitive_Logs;,"Retrieved 446 rows with columns: name, timestamp, department, employee_id, social_security_number",Junior Analyst,0
